metric,seed,lambda_000,lambda_003,difference_003_minus_000
next_accuracy,4,0.629277566539924,0.6311787072243346,0.0019011406844106071
next_accuracy,5,0.6416349809885932,0.6416349809885932,0.0
next_accuracy,6,0.6169201520912547,0.6102661596958175,-0.0066539923954371805
next_accuracy,7,0.5998098859315589,0.6026615969581749,0.002851711026615966
next_accuracy,8,0.6539923954372624,0.6568441064638784,0.002851711026615966
next_accuracy,9,0.6036121673003803,0.6083650190114068,0.004752851711026573
reconstruction_loss,0,1.1783863306045532,1.1581661280463724,-0.0202202025581808
reconstruction_loss,1,1.188691209344303,1.1833381021724028,-0.005353107171900184
reconstruction_loss,2,1.1529707978753483,1.1548259047900928,0.0018551069147445531
reconstruction_loss,3,1.201477555667653,1.209652255563175,0.008174699895522108
reconstruction_loss,4,1.2159774163190056,1.2204579044790829,0.0044804881600772895
reconstruction_loss,5,1.2038233981413,1.2077430977540857,0.00391969961278571
reconstruction_loss,6,1.1700982626746683,1.193234359516817,0.023136096842148568
reconstruction_loss,7,1.2102712953791899,1.219058303272023,0.008787007892833154
reconstruction_loss,8,1.188180874375736,1.1913407970877254,0.0031599227119893936
reconstruction_loss,9,1.1833713755888098,1.17290698780733,-0.010464387781479845
perplexity,0,3.24912691116333,3.184088945388794,-0.06503796577453613
perplexity,1,3.2827820777893066,3.2652556896209717,-0.01752638816833496
perplexity,2,3.1675891876220703,3.173470973968506,0.005881786346435547
perplexity,3,3.325026035308838,3.35231876373291,0.027292728424072266
perplexity,4,3.3735899925231934,3.3887391090393066,0.015149116516113281
perplexity,5,3.3328354358673096,3.3459246158599854,0.013089179992675781
perplexity,6,3.2223093509674072,3.297729969024658,0.07542061805725098
perplexity,7,3.3543944358825684,3.3839993476867676,0.02960491180419922
perplexity,8,3.281107187271118,3.2914915084838867,0.010384321212768555
perplexity,9,3.265364646911621,3.231372594833374,-0.03399205207824707
kl_text,0,1.2505402810433333,1.2608975662904627,0.010357285247129422
kl_text,1,0.8061858450665194,0.8390256622258354,0.032839817159316054
kl_text,2,0.787391185760498,0.7933919499902164,0.006000764229718403
kl_text,3,0.7840868269695955,0.7882460776497336,0.004159250680138116
kl_text,4,0.9000864204238442,0.908614035914926,0.00852761549108172
kl_text,5,0.8835705238230088,0.9042617082595825,0.020691184436573695
kl_text,6,0.6534949470968807,0.6678832418778363,0.014388294780955602
kl_text,7,0.6345974066678215,0.663890912252314,0.029293505584492507
kl_text,8,1.0930612262557535,1.1076198009883655,0.014558574732612017
kl_text,9,1.04982691302019,1.0992322774494396,0.04940536442924959
kl_structure,0,9.939153222476735,9.93589979059556,-0.003253431881175217
kl_structure,1,10.329251569860121,10.314774905934053,-0.014476663926068056
kl_structure,2,10.011455479790182,9.960757760440602,-0.05069771934958034
kl_structure,3,10.05809912962072,10.07401948816636,0.015920358545640667
kl_structure,4,10.125899090486413,10.130041459027458,0.004142368541044661
kl_structure,5,10.001598470351276,10.007101619944853,0.005503149593577561
kl_structure,6,10.19421880385455,10.183016159955192,-0.011202643899357767
kl_structure,7,10.003665587481331,9.986182493322035,-0.01748309415929583
kl_structure,8,10.226414119496065,10.215004977057962,-0.011409142438102648
kl_structure,9,10.003419090719785,9.979568986331715,-0.023850104388069227
mean_same_id_cross_language_distance,0,0.7203221608080791,0.7128329456645727,-0.0074892151435064225
mean_same_id_cross_language_distance,1,0.7830130068351561,0.7714072516889173,-0.011605755146238739
mean_same_id_cross_language_distance,2,0.7523199780472332,0.7389096708352122,-0.013410307212020967
mean_same_id_cross_language_distance,3,0.7870418652042237,0.7703501991785978,-0.016691666025625884
mean_same_id_cross_language_distance,4,0.7568748185956433,0.7439219533490591,-0.012952865246584233
mean_same_id_cross_language_distance,5,0.760310213063833,0.7576596354180416,-0.002650577645791352
mean_same_id_cross_language_distance,6,0.7417977192216046,0.7361232685952133,-0.005674450626391381
mean_same_id_cross_language_distance,7,0.7704516919790112,0.7555528845737189,-0.014898807405292258
mean_same_id_cross_language_distance,8,0.7565206067757008,0.7466553793263979,-0.009865227449302849
mean_same_id_cross_language_distance,9,0.7690920436563601,0.7522593145134785,-0.016832729142881586
