condition,lambda_language_alignment,seed,metric,published,recomputed,abs_diff
align003,0.03,6,cross_language_mrr_de_to_en,0.9606147021546261,0.9606147021546261,0.0
align003,0.03,6,cross_language_mrr_en_to_de,0.9684727503168568,0.9684727503168568,0.0
align003,0.03,6,mean_cross_language_parent_child_distance,6.142901461707834,6.142901461707834,0.0
align003,0.03,6,mean_parent_child_distance,6.14149597752301,6.14149597752301,0.0
align003,0.03,6,mean_sibling_distance,1.794481213281165,1.794481213281165,0.0
align003,0.03,6,mean_unrelated_distance,5.822202824821037,5.822202824821037,0.0
align003,0.03,7,mean_same_id_cross_language_distance,0.7555528845737189,0.7555528845737189,0.0
align003,0.03,7,cross_language_top1_id_accuracy,0.9363117870722434,0.9363117870722434,0.0
align003,0.03,7,cross_language_mrr,0.9655576679340939,0.9655576679340939,0.0
align003,0.03,7,cross_language_top1_id_accuracy_de_to_en,0.9467680608365019,0.9467680608365019,0.0
align003,0.03,7,cross_language_top1_id_accuracy_en_to_de,0.9258555133079848,0.9258555133079848,0.0
align003,0.03,7,cross_language_mrr_de_to_en,0.9701837769328263,0.9701837769328263,0.0
align003,0.03,7,cross_language_mrr_en_to_de,0.9609315589353611,0.9609315589353611,0.0
align003,0.03,7,mean_cross_language_parent_child_distance,6.211987332571908,6.211987332571908,0.0
align003,0.03,7,mean_parent_child_distance,6.209489640472941,6.209489640472941,0.0
align003,0.03,7,mean_sibling_distance,1.8090228520946585,1.8090228520946585,0.0
align003,0.03,7,mean_unrelated_distance,5.805755664300556,5.805755664300556,0.0
align003,0.03,8,mean_same_id_cross_language_distance,0.7466553793263979,0.7466553793263979,0.0
align003,0.03,8,cross_language_top1_id_accuracy,0.9420152091254753,0.9420152091254753,0.0
align003,0.03,8,cross_language_mrr,0.968155893536122,0.968155893536122,0.0
align003,0.03,8,cross_language_top1_id_accuracy_de_to_en,0.94106463878327,0.94106463878327,0.0
align003,0.03,8,cross_language_top1_id_accuracy_en_to_de,0.9429657794676806,0.9429657794676806,0.0
align003,0.03,8,cross_language_mrr_de_to_en,0.9681558935361215,0.9681558935361215,0.0
align003,0.03,8,cross_language_mrr_en_to_de,0.9681558935361214,0.9681558935361214,0.0
align003,0.03,8,mean_cross_language_parent_child_distance,6.3122739385318205,6.3122739385318205,0.0
align003,0.03,8,mean_parent_child_distance,6.309310059326922,6.309310059326922,0.0
align003,0.03,8,mean_sibling_distance,1.827286994431442,1.827286994431442,0.0
align003,0.03,8,mean_unrelated_distance,5.96333264466021,5.96333264466021,0.0
align003,0.03,9,mean_same_id_cross_language_distance,0.7522593145134785,0.7522593145134785,0.0
align003,0.03,9,cross_language_top1_id_accuracy,0.9230038022813688,0.9230038022813688,0.0
align003,0.03,9,cross_language_mrr,0.9589670468948036,0.9589670468948036,0.0
align003,0.03,9,cross_language_top1_id_accuracy_de_to_en,0.9201520912547528,0.9201520912547528,0.0
align003,0.03,9,cross_language_top1_id_accuracy_en_to_de,0.9258555133079848,0.9258555133079848,0.0
align003,0.03,9,cross_language_mrr_de_to_en,0.9578580481622306,0.9578580481622306,0.0
align003,0.03,9,cross_language_mrr_en_to_de,0.9600760456273765,0.9600760456273765,0.0
align003,0.03,9,mean_cross_language_parent_child_distance,5.991910524680665,5.991910524680665,0.0
align003,0.03,9,mean_parent_child_distance,5.989600151490155,5.989600151490155,0.0
align003,0.03,9,mean_sibling_distance,1.844427511547551,1.844427511547551,0.0
align003,0.03,9,mean_unrelated_distance,5.773840513406144,5.773840513406144,0.0
align010,0.1,0,mean_same_id_cross_language_distance,0.74349319257777,0.74349319257777,0.0
align010,0.1,0,cross_language_top1_id_accuracy,0.9268060836501901,0.9268060836501901,0.0
align010,0.1,0,cross_language_mrr,0.9564773035899465,0.9564773035899465,0.0
align010,0.1,0,cross_language_top1_id_accuracy_de_to_en,0.9334600760456274,0.9334600760456274,0.0
align010,0.1,0,cross_language_top1_id_accuracy_en_to_de,0.9201520912547528,0.9201520912547528,0.0
align010,0.1,0,cross_language_mrr_de_to_en,0.9605750950570341,0.9605750950570341,0.0
align010,0.1,0,cross_language_mrr_en_to_de,0.952379512122858,0.952379512122858,0.0
align010,0.1,0,mean_cross_language_parent_child_distance,5.998753703857893,5.998753703857893,0.0
align010,0.1,0,mean_parent_child_distance,5.997288392688039,5.997288392688039,0.0
align010,0.1,0,mean_sibling_distance,1.8392683257917306,1.8392683257917306,0.0
align010,0.1,0,mean_unrelated_distance,5.725367604326386,5.725367604326386,0.0
align010,0.1,1,mean_same_id_cross_language_distance,0.7806851092173572,0.7806851092173572,0.0
align010,0.1,1,cross_language_top1_id_accuracy,0.9268060836501901,0.9268060836501901,0.0
align010,0.1,1,cross_language_mrr,0.9572141499185227,0.9572141499185227,0.0
align010,0.1,1,cross_language_top1_id_accuracy_de_to_en,0.9315589353612167,0.9315589353612167,0.0
align010,0.1,1,cross_language_top1_id_accuracy_en_to_de,0.9220532319391636,0.9220532319391636,0.0
align010,0.1,1,cross_language_mrr_de_to_en,0.9600873619409741,0.9600873619409741,0.0
align010,0.1,1,cross_language_mrr_en_to_de,0.9543409378960707,0.9543409378960707,0.0
align010,0.1,1,mean_cross_language_parent_child_distance,6.124588166817535,6.124588166817535,0.0
align010,0.1,1,mean_parent_child_distance,6.123344114061036,6.123344114061036,0.0
align010,0.1,1,mean_sibling_distance,1.846594406767583,1.846594406767583,0.0
