condition,lambda_language_alignment,seed,language,task_type,decoding_rule,n,target_mean,target_median,prediction_mean,mae,rmse,mse,mean_baseline_mae,mean_baseline_rmse,median_baseline_mae,median_baseline_rmse
align000,0.0,8,de,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.9417051664153433,0.5143015357619682,0.757138068509305,0.573258054786001,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align000,0.0,8,en,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.8948919301278917,0.5380783610952444,0.7917037257424546,0.6267947893544837,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align000,0.0,9,all,regression,none_in_implementation,1052.0,0.9866920152091255,0.0,0.891793487733407,0.5185693671250496,0.7485379139070197,0.560309008556273,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align000,0.0,9,de,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.8960755438669566,0.512669237490793,0.7399801370088972,0.5475706031677063,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align000,0.0,9,en,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.8875114315998575,0.5244694967593063,0.7569989524066989,0.5730474139448396,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align003,0.03,0,all,regression,none_in_implementation,1052.0,0.9866920152091255,0.0,0.8563951816331921,0.46746287701346917,0.6996791993514804,0.48955098200512864,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align003,0.03,0,de,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.8615580506042042,0.46577279082014306,0.7032477798161407,0.49455743981633116,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align003,0.03,0,en,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.8512323126621799,0.4691529632067952,0.6960923244756589,0.4845445241939261,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align003,0.03,1,all,regression,none_in_implementation,1052.0,0.9866920152091255,0.0,0.9454321993245768,0.4730664681636165,0.6855738933069812,0.47001156318409204,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align003,0.03,1,de,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.9475470152488793,0.4720099878500963,0.6860657565948222,0.47068622237202584,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align003,0.03,1,en,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.9433173834002743,0.47412294847713676,0.6850816768795953,0.4693369039961582,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align003,0.03,2,all,regression,none_in_implementation,1052.0,0.9866920152091255,0.0,0.9106641837569244,0.4573443247139907,0.6777133616261821,0.45929540052666024,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align003,0.03,2,de,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.9114389893928182,0.4712011623886828,0.694258933957631,0.4819954673799864,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align003,0.03,2,en,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.9098893781210307,0.44348748703929863,0.6607536104126364,0.43659533367333403,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align003,0.03,3,all,regression,none_in_implementation,1052.0,0.9866920152091255,0.0,1.0206808035169859,0.5308638026268565,0.7587364989401869,0.5756810748240123,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align003,0.03,3,de,regression,none_in_implementation,526.0,0.9866920152091255,0.0,1.0137995729831972,0.5376045392868694,0.760529935331271,0.5784057825349873,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align003,0.03,3,en,regression,none_in_implementation,526.0,0.9866920152091255,0.0,1.0275620340507747,0.5241230659668437,0.7569388133218148,0.5729563671130372,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align003,0.03,4,all,regression,none_in_implementation,1052.0,0.9866920152091255,0.0,0.8659897618873944,0.47992662287993576,0.7041787913432759,0.4958677701776769,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
